url,title,content,topic_name,topic
https://lenta.ru/news/2026/04/18/nad-rossiyskim-gorodom-progremeli-vzryvy/,Над российским городом прогремели взрывы,"Серия взрывов прогремела над Новокуйбышевском в Самарской области. Об этом сообщил Telegram -канал Shot. Предполагается, что силы противовоздушной обороны (ПВО) отражают воздушную атаку беспилотных летательных аппаратов (БПЛА) Вооруженных сил Украины (ВСУ). По словам местных жителей, громкие звуки раздались в 04:30 утра в восточной и северной частях города. Всего прогремели 6-8 взрывов, также были видны вспышки в небе. В Новокуйбышевске звучит сирена воздушной опасности, в аэропорту введен режим «Ковер». Жителей города призвали укрыться в безопасном месте. Официальные сведения о пострадавших и разрушениях пока не поступали. Ранее в Севастополе отразили массированную атаку ВСУ. Об этом сообщил губернатор Михаил Развожаев . По его словам, всего были сбиты 22 беспилотника.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/novye-pdd-ustanovyat-prioritet-elektrovelosipeda-i-vvedut-zapret/,Новые ПДД установят приоритет электровелосипеда и введут запрет,"Изменения в правилах дорожного движения (ПДД), которые планируется подготовить к июлю 2026 года, затронут, в частности, использование электросамокатов, электровелосипедов, мопедов и моноколес, сообщил ТАСС заместитель председателя Совета по развитию цифровой экономики при Совете Федерации Артем Шейкин . По его словам, основная задача нововведений заключается в распределении средств индивидуальной мобильности по транспортным потокам. «Но электровелосипед, по моему мнению, должен приоритетно передвигаться по выделенной линии для велосипедов. Если нет велодорожки, то у него есть крайняя правая полоса дороги, по потоку», — сказал сенатор. Шейкин добавил, что новые ПДД должны запрещать использование электровелосипедов в местах больших скоплений людей. В ноябре первый зампред комитета Госдумы по транспорту Павел Федяев заявил , что сервисы доставки должны контролировать скорость передвижения по городу и маршрут курьеров на электровелосипедах. В октябре депутат Госдумы Леонид Слуцкий предложил ввести ряд запретов для электросамокатчиков, в частности, штрафы за езду на электросамокатах и электровелосипедах по тротуарам.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/oblomki-ukrainskogo-bpla-ruhnuli-vozle-rossiyskogo-morskogo-porta/,Обломки украинского БПЛА рухнули возле российского морского порта,"Вооруженные силы Украины (ВСУ) продолжают попытки атаковать Черноморские города России. Обломки очередного сбитого вражеского беспилотного летательного аппарата (БПЛА) рухнули в районе морского порта в Ейске , об этом сообщили в телеграм-канале Оперативного штаба Краснодарского края. Пострадавших в результате падения обломков нет, возгораний также не зафиксировано. На месте работают все оперативные и специальные службы. До этого взрывы прогремели в небе над Ростовом-на-Дону и Таганрогом . Подробности пока не известны. Кроме того, как сообщала пресс-служба Росавиации , вечером 17 апреля в аэропортах Геленджика и Сочи вводились временные ограничения на прием и выпуск воздушных судов. К 23:25 ограничения были сняты .",Общество/Россия,0
https://lenta.ru/news/2026/04/18/pensioneram-nazvali-sposoby-uvelichit-vyplaty/,Пенсионерам назвали способы увеличить выплаты,"Многие россияне, отработавшие 35–40 лет, получают небольшую пенсию из-за того, что из стажа исключили отдельные периоды, заявил депутат Государственной Думы от ЛДПР Дмитрий Свищев . В беседе с «Лентой.ру» он разъяснил пенсионерам, как в 2026 году увеличить выплаты за счет длительного стажа и исправить возможные ошибки Социального фонда . Из стажа, по словам депутата, чаще всего выпадают работа в 1990-е годы, служба в армии, уход за детьми до полутора лет, уход за инвалидами или пожилыми людьми старше 80 лет, а также работа по договорам, которые не учли при назначении пенсии. «С 1 января 2026 года в стаж засчитываются периоды ухода за всеми детьми без ограничений. Раньше лимит составлял шесть лет (максимум за четверых детей). Теперь матери с пятью и более детьми имеют право на перерасчет», — добавил парламентарий. По словам Свищева, это серьезное изменение, о котором мало кто знает: женщины с тремя, четырьмя, пятью детьми могут получить прибавку, но для этого нужно подать заявление — фонд сам перерасчет не сделает. В 2025–2026 годах, отмечает депутат, уже есть примеры успешных перерасчетов. ПО его словам, суды регулярно встают на сторону пенсионеров — все сомнения трактуются в пользу человека. Даже опечатки в трудовой признаются виной работодателя, а не пенсионера. Парламентарий объяснил, что для перерасчета нужно проверить стаж онлайн в личном кабинете на «Госуслугах» или сайте Социального фонда, заказать выписку из лицевого счета. Затем сверить данные с трудовой книжкой, военным билетом, свидетельствами о рождении детей. Если найдены расхождения, подается заявление в Социальный фонд лично, через МФЦ или «Госуслуги» с копиями подтверждающих документов. При отказе следует обращаться в суд — госпошлина для пенсионеров не взимается. Нестраховые периоды (армия, уход за детьми, за инвалидами) засчитываются в стаж. За советский стаж положена валоризация: плюс десять процентов к пенсионному капиталу и плюс один процент за каждый год работы до 1991 года Он добавил, что пенсионные баллы за детей составляют за первого 1,8 балла в год, за второго — 3,6, за третьего и четвертого — по 5,4. Работающие пенсионеры имеют право на ежегодный перерасчет с 1 августа, но для учета нестраховых периодов требуется отдельное заявление. Важно, что срок исковой давности не применяется, то есть можно требовать перерасчета за весь период недополучения, обратил внимание депутат. Вместе с тем Свищев предупредил о мошенниках, которые звонят пенсионерам и обещают вернуть миллионы за предоплату. Все процедуры перерасчета проводятся бесплатно через Социальный фонд, МФЦ или «Госуслуги», услуги посредников не требуются. Перерасчет позволяет увеличить пенсию на тысячи рублей, закон в этом вопросе на стороне пенсионера, заключил он. Ранее заместитель председателя комитета Госдумы по бюджету и налогам Каплан Панеш рассказал, что многие россияне могут получить свои пенсионные накопления не в виде ежемесячной прибавки, а сразу одной суммой до 440 тысяч рублей. Парламентарий разъяснил, что в 2026 году право на единовременную выплату имеют граждане, у которых размер накопительной пенсии в пересчете на месяц не превышает 10 процентов от прожиточного минимума пенсионера — 1 628 рублей 80 копеек.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/posetitelnitsu-rossiyskogo-solyariya-ostavili-bez-trusov/,Посетительницу российского солярия оставили без трусов,"Неизвестный мужчина вломился в занятую кабинку солярия SunLife в Ростове-на-Дону и украл у находившейся там посетительницы трусы. Видеозаписью с места происшествия поделился Telegram -канал 112. На опубликованных кадрах видно, как преступник заходит в кабинку, оказавшуюся незапертой. Спустя считаные секунды раздается крик, который не оставили без внимания сотрудники солярия. Прежде чем они подбежали в кабинке, неизвестный сам открыл дверь и вышел наружу, застегивая на ходу штаны. Он принялся уверять присутствующих, что просто зашел к своей супруге, однако та позднее заявила, что видит мужчину впервые в жизни. Кроме того, она пожаловалась, что он успел украсть ее трусы. Сейчас вора ищут. Ранее в британском суде началось рассмотрение необычного дела о хранении запрещенного контента. Его фигуранта задержали из-за экстремальной порнографии с участием рыбы.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/prifrontovoy-status-rossiyskogo-regiona-ob-yasnili-ugrozami-nato/,Превращение Ленинградской области в прифронтовую зону объяснили,"Ленинградская область стала прифронтовой зоной из-за угрозы атаки со стороны стран, входящих в НАТО . Так негласный статус российского региона в интервью News.ru объяснил военный эксперт Юрий Кнутов . « Ленобласть находится неподалеку от границы с Финляндией , а также с Латвией и Эстонией . Через эти страны летят беспилотники с территории Украины , когда атакуют наши объекты энергетической инфраструктуры, топливно-энергетического комплекса, нефтепереработки, порты, суда», — сказал Кнутов. Он добавил, что страны НАТО, по его мнению, «готовятся к конфликту с Россией». Это выражается в том числе в укреплении границ и наращивании численности своих вооруженных сил. «Сейчас тех ресурсов, которые есть, недостаточно для того, чтобы прикрыть ряд наиболее важных объектов от ударов беспилотной авиации противника, поэтому принято решение о привлечении резервистов», — заключил Кнутов. Ранее губернатор Ленинградской области Александр Дрозденко назвал ее прифронтовым регионом. Он также сообщил , что в области планируют привлечь резервистов в мобильные огневые группы для защиты от налетов украинских беспилотников.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/raskryty-podrobnosti-nochnogo-naleta-vsu-na-rossiyskiy-region/,Раскрыты подробности ночного налета ВСУ на российский регион,"В ночь на 18 апреля Вооруженные силы Украины (ВСУ) при помощи беспилотников попытались нанести удар по территории Ростовской области. Подробности ночной атаки на регион привел губернатор Юрий Слюсарь в Telegram -канале. «Более десятка БПЛА уничтожены в городах Таганрог и Каменск-Шахтинский и пяти районах области: Шолоховском, Миллеровском, Каменском , Мясниковском, Милютинском», — говорится в сообщении. Слюсарь добавил, что информация о пострадавших и разрушениях пока не поступала и будет уточняться. В регионе по-прежнему сохраняется беспилотная опасность. Ранее губернатор Ленинградской области Александр Дрозденко сообщил , что в небе над регионом было сбито 27 беспилотников ВСУ.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/raskryty-posledstviya-ataki-bespilotnikov-na-leningradskuyu-oblast/,Раскрыты последствия атаки беспилотников на Ленинградскую область,"Губернатор Ленинградской области Александр Дрозденко прокомментировал массированный удар Вооруженных сил Украины (ВСУ) по региону. Об этом он написал в Max. Дрозденко раскрыл последствия атаки беспилотников на Ленинградскую область и подчеркнул, что у порта Высоцк возникло возгорание. «В районе порта Высоцк есть возгорание, в данный момент оно ликвидируется», — отметил он. Ранее Дрозденко сообщил , что в небе над регионом было сбито 27 беспилотников ВСУ. Он отметил, что в Выборгском районе больше не действует режим беспилотной опасности. В остальных районах области он сохраняется.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/rossiyskiy-gubernator-pokazal-kadry-posledstviy-ataki-vsu-na-kladbische-nakanune-radonitsy/,Российский губернатор показал кадры последствий атаки ВСУ на кладбище накануне Радоницы,"Балицкий Евгений / Telegram-канал Вооруженные силы Украины (ВСУ) нанесли прицельный удар по кладбищу города Днепрорудное накануне дня особого поминовения усопших — Радоницы. Кадрами последствий вражеской атаки на место, где нет ни военных, ни стратегических объектов, поделился губернатор Запорожской области Евгений Балицкий в своем телеграм-канале. «Это беспредельная ненависть, направленная даже на усопших. Абсолютное кощунство, в послепасхальную светлую неделю, накануне дня особого поминовения усопших», — написал Балицкий. Глава области добавил, что на месте работают все оперативные службы и саперы. Есть большая вероятность того, что на территории лежат неразорвавшиеся боеприпасы. Администрация округа проведет оценку разрушений и окажет всю необходимую помощь родственникам покойных, чьи могилы были разрушены. Ранее были опубликованы кадры с последствиями атаки ВСУ на российский роддом.",Общество/Россия,0
https://lenta.ru/news/2026/04/18/rossiyskiy-region-ostalsya-bez-sveta/,Российский регион остался без света,"В Иркутской области произошло массовое отключение электричества из-за сильного снегопада. Об этом пишет Telegram -канал «Осторожно, новости». Жители российского региона пожаловались, что без света остались дома в Куйбышевском, Ленинском и Октябрьском районах Иркутска . Кроме того, перебои с электроэнергией есть и в области. По словам синоптиков, 18 апреля в Иркутске наблюдаются сильный ветер с порывами до 20 метров в секунду, снег, метель и понижение температуры ночью до минус 7 градусов. На местных дорогах и трассах образовалась гололедица, из-за которой произошел ряд аварий. Ранее москвичей напугали пронзительным холодом. По прогнозам синоптиков, характер погоды в столице резко изменится в понедельник, 20 апреля, под действием тыловой части циклона.",Общество/Россия,0
